Brick Atlas is an unofficial community project, not affiliated with the LEGO Group.
42066 Air Race Jet by Philippe Hurbain [Philo], CC BY 2.0, https://library.ldraw.org/library/omr/42066-1.mpd
LDraw.org Parts Library. Per-file authors and licenses: credits.json and original packed MPD.
Licenses: https://creativecommons.org/licenses/by/2.0/ and https://creativecommons.org/licenses/by/4.0/
Changes: Dependency closure packed without modifying original files; Geometry converted to millimetres (+Y up); Deterministic brick IDs and functional groups; Geometry batching and lossless gzip; no decimation.

42066 - 18976.dat | Magnus Forsberg [MagFors] | Redistributable under CCAL version 2.0 : see CAreadme.txt
p/1-8edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ndis.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ring19.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ring3.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ring5.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8ring8.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8sphe.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8tang.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8tndis.dat | Massimo Maso [Sirio] | Licensed under CC BY 4.0 : see CAreadme.txt
p/1-8tric.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4chrd.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4con1.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4con4.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4cylc.dat | Alex Taylor [anathema] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4disc.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4ering.dat | Damien Roux [Darats] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4ndis.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4ring1.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4ring16.dat | Donald Sutter [technog] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4ring2.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4ring3.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4ring4.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4ring6.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4ring8.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-4ring9.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/2-8sphe.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16chrd.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16con19.dat | Rene Rechthaler [Blechtaler] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16con3.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16cyli.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16cylo.dat | J.C. Tchang [tchang] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16cyls.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16cys2.dat | Donald Sutter [technog] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16edge.dat | Donald Sutter [technog] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16ndis.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16rin3.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16ring2.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16ring3.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16ring4.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16tang.dat | Massimo Maso [Sirio] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-16tndis.dat | Massimo Maso [Sirio] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-4cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-4edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-4ndis.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-4ring4.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-8cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-8edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-8ring12.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-8ring2.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/3-8ring8.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4con0.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4con1.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4con10.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4con19.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4con2.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4con20.dat | Michael Heidemann [mikeheide] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4con3.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4con6.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4con7.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4con8.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4cyl1sph2.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4cylc.dat | Alex Taylor [anathema] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4cyli.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4cylo.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4disc.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4edge.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ering.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ndis.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4rin10.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4rin11.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4rin15.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4rin24.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4rin36.dat | Alex Taylor [anathema] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring1.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring12.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring14.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring18.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring19.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring2.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring20.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring3.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring4.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring5.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring6.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring7.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring8.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-4ring9.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/4-8sphe.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-12chrd.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-12cyli.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-12edge.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-16chrd.dat | Michael Heidemann [mikeheide] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-16cyli.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-16edge.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-24edge.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-48cyli.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-4chrd.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-4cyli.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-4edge.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-4ring9.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-6cyli.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-6edge.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-8aring.dat | Gerald Lasser [GeraldLasser] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-8cyli.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/1-8edge.dat | [PTadmin] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4aring.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4con16.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4con4.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4con5.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4con7.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4con9.dat | Alex Taylor [anathema] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4cyli.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4cylo.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4edge.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4ring12.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4ring20.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4ring3.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4ring37.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4ring4.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4ring6.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4ring8.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/4-4ring9.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/5-24cyli.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/5-24cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/5-24edge.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/48/5-48edge.dat | Alex Taylor [anathema] | Licensed under CC BY 4.0 : see CAreadme.txt
p/5-16cyli.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/5-16cylo.dat | Max Martin Richter [MMR1988] | Licensed under CC BY 4.0 : see CAreadme.txt
p/5-16edge.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/5-8cyli.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/5-8edge.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/7-16cyli.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/7-16edge.dat | Orion Pobursky [OrionP] | Licensed under CC BY 4.0 : see CAreadme.txt
p/7-16ring3.dat | Alex Taylor [anathema] | Licensed under CC BY 4.0 : see CAreadme.txt
p/7-8ring8.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8-8sphe.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/1-4cyli.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/1-4cylo.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/1-4cyls.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/1-4edge.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/1-4ndis.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/2-4cyli.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/2-4cylo.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/2-4edge.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/2-4ndis.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/3-8chrd.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/3-8cyli.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/3-8cylo.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/8/3-8edge.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl2ho10.dat | Michael Heidemann [mikeheide] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl2hol2.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl2hol3.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl2hol8.dat | Michael Heidemann [mikeheide] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl2hol9.dat | Michael Heidemann [mikeheide] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl2hole.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl3ho10.dat | Santeri Piippo [arezey] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl3hol3.dat | Santeri Piippo [arezey] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl3hol8.dat | Santeri Piippo [arezey] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl3hol9.dat | Santeri Piippo [arezey] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl3hole.dat | J.C. Tchang [tchang] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl5end.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl5ho10.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl5hol8.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl5hol9.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axle.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/axleconnect.dat | Santeri Piippo [arezey] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axleend.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axleend2.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axleend20.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axleho10.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axleho12.dat | Rene Rechthaler [Blechtaler] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol2.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol3.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol4.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol5.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol6.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol8.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol9.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehole.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/beamhol2.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/beamhole.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box2-11.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box2-5.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box2-7.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box2-9p.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box3u2p.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box3u4a.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box3u4p.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box3u8p.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/box4-1.dat | Tore Eriksson [Tore_Eriksson] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box4-2p.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box4-4a.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box4.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/box4o8a.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box4t.dat | Tore Eriksson [Tore_Eriksson] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box5-4a.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box5.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
